rank,ticker,price,expected_irr,median_irr,p10_irr,p90_irr,above_hurdle_weight,hurdle_rate,permanent_loss_weight,worst_case_shortfall,worst_case_hurdle_gap,expected_shortfall,hurdle_cvar,intrinsic_value_low,intrinsic_value_base,intrinsic_value_high,intrinsic_value_bear,intrinsic_value_bull,scenario_order_inversion,scenario_order_note,upside_to_base,model_confidence,data_confidence,model_uncertainty,business_quality,valuation_excess,evidence_confidence,valuation_status,invalid_reason,invalid_fields,assumption_flags,valuation_alerts,requires_manual_review,roic_status,catastrophic_tail_floor_applied,catastrophic_tail_scenarios,name,sector,industry,model_family,market_cap,financial_persistence_score,roic,incremental_roic,wacc,roic_minus_wacc,normalized_operating_margin,current_operating_margin,revenue_cagr,net_debt_to_ebitda,sbc_intensity,net_share_change_cagr,risk_flags,years_of_data,latest_fiscal_year,anchor_source,latest_filing_date,price_as_of,is_price_fresh,shares_outstanding,beta,specialist_model_note,downside_penalty,ambiguity_penalty,permanent_loss_penalty,hurdle_penalty,robust_return,ineligible_reasons,eligible
1,UHS,155.57,0.28407897638826396,0.3025272566941567,0.1309085556305946,0.400352836534148,1.0,0.12,0.0,0.0,0.0,0.0,0.0,177.0377115823003,327.72721887406266,463.1810541852038,177.0377115823003,463.1810541852038,False,,1.106622220698481,0.7677,1.0,0.14169114045177672,0.7825,0.1825272566941567,0.7677,valid,,,share_change_floor_hit;intrinsic_2x_price,,False,ok,False,,"Universal Health Services, Inc.",Healthcare,Medical - Care Facilities,general_dcf,9739667692.0,0.7825,0.12468849972603302,0.22875878037240152,0.08108989021160215,0.04359860951443087,0.10734202554714209,0.11497840885602606,0.0705902397892153,1.87669620079509,0.006142007240454682,-0.05801175829131966,,8.0,2025.0,ttm,2026-05-07,2026-07-10,True,,,,0.0,0.07084557022588836,0.0,0.0,0.14012617496410412,,True
2,FOXA,54.12,0.2916078089911025,0.3140772512648255,0.12352068834006788,0.4147560450946912,1.0,0.12,0.0,0.0,0.0,0.0,0.0,67.12899309096457,130.59112401526642,183.21219334201822,67.12899309096457,183.21219334201822,False,,1.412991944110614,0.68445,1.0,0.15508417837731164,0.8982,0.1940772512648255,0.68445,valid,,,forward_roic_cap_hit;share_change_floor_hit;intrinsic_2x_price,,False,ok,False,,Fox Corporation,Communication Services,Entertainment,general_dcf,23731882103.0,0.8982,0.16895503711597137,0.8856477997370426,0.0669305855619197,0.10202445155405167,0.2005283937430593,0.19727177334732424,0.06996718821585945,0.8351403947734223,0.006437768240343348,-0.0882628934835914,,8.0,2025.0,ttm,2026-05-11,2026-07-10,True,,,,0.0,0.07754208918865582,0.0,0.0,0.13283617462820982,,True
3,CTSH,42.57,0.22962648841785271,0.23850623667240145,0.14063241623807707,0.30086106408853086,1.0,0.12,0.0,0.0,0.0,0.0,0.0,52.46381563990094,73.92903904922873,92.83058510755373,52.46381563990094,92.83058510755373,False,,0.7366464423121619,0.872,1.0,0.08395432392522689,0.8655,0.11850623667240145,0.872,valid,,,,,False,ok,False,,Cognizant Technology Solutions Corporation,Technology,Information Technology Services,general_dcf,20172603330.0,0.8655,0.1723955492618894,0.1406886596808351,0.0863456333335596,0.0860499159283298,0.14961661544644123,0.1566383257030739,0.03921825270499446,-0.10875127942681678,0.008867044993919741,-0.02773719033995936,,8.0,2025.0,ttm,2026-04-29,2026-07-10,True,,,,0.0,0.041977161962613446,0.0,0.0,0.10333743837833406,,True
4,VICI,26.01,0.2851262683218816,0.3296197439782067,0.15164584135290626,0.3296197439782067,1.0,0.12,0.0,0.0,0.0,0.0,0.0,52.69083374004457,108.08803698329007,108.08803698329007,52.69083374004457,108.08803698329007,False,,3.155633870945408,0.6,0.8,0.10698695131265021,0.48748071674379967,0.2096197439782067,0.48,valid,,,specialist_model_v1,,False,specialist,False,,VICI Properties Inc.,Real Estate,REIT - Specialty,reit,27805470300.0,,,,,,,,,,,,,,,,,2026-07-10,True,1069029999.9999999,0.683,P/AFFO Gordon proxy; no property-level NOI or maintenance-capex detail,0.0,0.053493475656325104,0.0,0.0,0.10061747710953922,,True
5,ARE,47.88,0.25541132775192393,0.2793206392735188,0.18368339318713933,0.2793206392735188,1.0,0.12,0.0,0.0,0.0,0.0,0.0,111.25817062730331,164.07830986259054,164.07830986259054,111.25817062730331,164.07830986259054,False,,2.4268652853506794,0.6,0.8,0.06581862304318972,0.6780796969476214,0.1593206392735188,0.48,valid,,,specialist_model_v1,,False,specialist,False,,"Alexandria Real Estate Equities, Inc.",Real Estate,REIT - Office,reit,8343999720.0,,,,,,,,,,,,,,,,,2026-07-10,True,174269000.0,1.183,P/AFFO Gordon proxy; no property-level NOI or maintenance-capex detail,0.0,0.03290931152159486,0.0,0.0,0.07647390685128902,,True
6,OMC,81.93,0.23630877481336943,0.24303935726638887,0.15275182490004224,0.30640455982065773,1.0,0.12,0.0,0.0,0.0,0.0,0.0,121.02714938322023,180.047582584206,233.49282958723222,121.02714938322023,233.49282958723222,False,,1.1975782080337605,0.679023,0.85,0.09095567746030775,0.8012,0.12303935726638887,0.57716955,valid,,,base_growth_cap_hit;reinvestment_cap_hit;intrinsic_2x_price,,False,ok,False,,Omnicom Group Inc.,Communication Services,Advertising Agencies,general_dcf,23350557638.000004,0.8012,0.10625854426677338,0.02465586598481794,0.0664734227036061,0.03978512156316728,0.14642359336986555,0.14972875016645534,0.017562263432874925,2.06084951795445,0.005825700645671198,-0.0033931429086506704,incremental_roic_below_wacc,8.0,2025.0,annual,2026-02-20,2026-07-10,True,,,,0.0,0.045477838730153874,0.0,0.0,0.0710145704657309,,True
7,ACN,135.23,0.1860419608143275,0.19623722582473427,0.10390578602091413,0.24778760558692742,0.75,0.12,0.0,0.0,0.016094213979085864,0.0,0.016094213979085864,139.7042865073016,194.24871932469787,234.37090016688063,139.7042865073016,234.37090016688063,False,,0.4364321476351245,0.8805,1.0,0.07552590978300665,0.9914,0.07623722582473427,0.8805,valid,,,,,False,ok,False,,Accenture plc,Technology,Information Technology Services,general_dcf,82752931400.0,0.9914,0.27626761611460315,0.1529257172134055,0.09660735518103357,0.17966026093356957,0.14685586785883348,0.14870495924143984,0.0787194628184662,-0.14013902069557826,0.029918271047864795,-0.01433226453267622,,8.0,2025.0,ttm,2026-06-18,2026-07-10,True,,,,0.0,0.037762954891503324,0.0,0.016094213979085864,0.05103266335959265,,True
8,TTD,19.53,0.2336887476500124,0.2626303238794208,0.06445255409926179,0.34504178874194624,0.75,0.12,0.0,0.0,0.05554744590073821,0.0,0.05554744590073821,17.500380144365156,36.345341095727406,48.116383475154464,17.500380144365156,48.116383475154464,False,,0.8610005681376038,0.713,1.0,0.14890461732134225,0.9118,0.14263032387942082,0.713,valid,,,,,False,ok,False,,"The Trade Desk, Inc.",Communication Services,Advertising Agencies,general_dcf,9181215900.0,0.9118,0.3288207697076124,0.48860470771143266,0.09544503202797502,0.2333757376796374,0.1711063344506371,0.20259066659481598,0.29379367691523206,-1.3554265927034115,0.20234486555512426,-0.015605915567558415,heavy_sbc,8.0,2025.0,ttm,2026-05-07,2026-07-10,True,,,,0.0,0.07445230866067112,0.0,0.05554744590073821,0.046147975025288834,,True
9,BXP,66.82,0.1926027112248036,0.21860240807801246,0.11460362066517704,0.21860240807801246,0.75,0.12,0.0,0.0,0.005396379334822954,0.0,0.005396379334822954,114.94993200168923,179.56290847841467,179.56290847841467,114.94993200168923,179.56290847841467,False,,1.687262922454575,0.6,0.8,0.0699993937064177,0.6401652377751913,0.09860240807801246,0.48,valid,,,specialist_model_v1,,False,specialist,False,,"BXP, Inc.",Real Estate,REIT - Office,reit,10656279267.0,,,,,,,,,,,,,,,,,2026-07-10,True,159477391.00568694,1.039,P/AFFO Gordon proxy; no property-level NOI or maintenance-capex detail,0.0,0.03499969685320885,0.0,0.005396379334822954,0.04193277654262303,,True
10,CMCSA,23.57,0.19076405052328482,0.18610481526702644,0.15063977846875787,0.2402067930903286,1.0,0.12,0.0,0.0,0.0,0.0,0.0,30.821781829517054,38.9476409221831,52.38552751279929,30.821781829517054,52.38552751279929,False,,0.6524243072627534,0.54318519,0.85,0.06298795161078537,0.7638,0.06610481526702644,0.4617074115,valid,,,forward_roic_floor_hit;share_change_floor_hit;wacc_floor_hit;reinvestment_cap_hit,,False,ok,False,,Comcast Corporation,Communication Services,Telecommunications Services,general_dcf,84197425934.0,0.7638,0.08412354861205212,-0.010702595763399403,0.065,0.01912354861205212,0.1873066409912772,0.1528360925302128,0.039212419385326935,2.407101662331788,0.010207942618366071,-0.06535161292900282,thin_interest_coverage;incremental_roic_below_wacc,8.0,2025.0,ttm,2026-04-23,2026-07-10,True,,,,0.0,0.031493975805392684,0.0,0.0,0.03052108314462446,,True
