rank,ticker,price,expected_irr,median_irr,p10_irr,p90_irr,above_hurdle_weight,hurdle_rate,permanent_loss_weight,worst_case_shortfall,worst_case_hurdle_gap,expected_shortfall,hurdle_cvar,intrinsic_value_low,intrinsic_value_base,intrinsic_value_high,intrinsic_value_bear,intrinsic_value_bull,scenario_order_inversion,scenario_order_note,upside_to_base,model_confidence,data_confidence,model_uncertainty,business_quality,valuation_excess,evidence_confidence,valuation_status,invalid_reason,invalid_fields,assumption_flags,valuation_alerts,requires_manual_review,roic_status,catastrophic_tail_floor_applied,catastrophic_tail_scenarios,name,sector,industry,model_family,market_cap,financial_persistence_score,roic,incremental_roic,wacc,roic_minus_wacc,normalized_operating_margin,current_operating_margin,revenue_cagr,net_debt_to_ebitda,sbc_intensity,net_share_change_cagr,risk_flags,years_of_data,latest_fiscal_year,anchor_source,latest_filing_date,price_as_of,is_price_fresh,shares_outstanding,beta,specialist_model_note,downside_penalty,ambiguity_penalty,permanent_loss_penalty,hurdle_penalty,robust_return,ineligible_reasons,eligible
1,UHS,141.26,0.32189214263489707,0.34141545972088355,0.16312042442150415,0.441617226676317,1.0,0.12,0.0,0.0,0.0,0.0,0.0,182.66875139964708,340.15213979684796,481.7294013189042,182.66875139964708,481.7294013189042,False,,1.407986265020869,0.7680600000000001,1.0,0.1462066011274064,0.7852,0.22141545972088356,0.7680600000000001,valid,,,share_change_floor_hit;intrinsic_2x_price,,False,ok,False,,"Universal Health Services, Inc.",Healthcare,Medical - Care Facilities,general_dcf,8843771023.0,0.7852,0.12468849972603302,0.22875878037240152,0.0794689693230093,0.04521953040302372,0.10734202554714209,0.11497840885602606,0.0705902397892153,1.87669620079509,0.006142007240454682,-0.05801175829131966,,8.0,2025.0,ttm,2026-05-07,2026-06-17,True,,,,0.0,0.0731033005637032,0.0,0.0,0.17006035799322183,,True
2,FOXA,51.32,0.3184191300417296,0.34209710722789166,0.143406313774176,0.44607599193695924,1.0,0.12,0.0,0.0,0.0,0.0,0.0,69.31283541200223,137.04087544633057,193.4194705233297,69.31283541200223,193.4194705233297,False,,1.6703210336385537,0.6163695000000001,1.0,0.16284375408139162,0.9014,0.22209710722789167,0.6163695000000001,valid,,,forward_roic_cap_hit;share_change_floor_hit;wacc_floor_hit;intrinsic_2x_price,,False,ok,False,,Fox Corporation,Communication Services,Entertainment,general_dcf,22504068543.0,0.9014,0.16895503711597137,0.8856477997370426,0.065,0.10395503711597137,0.2005283937430593,0.19727177334732424,0.06996718821585945,0.8351403947734223,0.006437768240343348,-0.0882628934835914,,8.0,2025.0,ttm,2026-05-11,2026-06-17,True,,,,0.0,0.08142187704069581,0.0,0.0,0.136893882933502,,True
3,KLAC,238.73,0.3035116380648106,0.3174482275091578,0.17779159736237488,0.4013584998785518,1.0,0.12,0.0,0.0,0.0,0.0,0.0,292.51421444647355,450.9717310570096,588.8943757717027,292.51421444647355,588.8943757717027,False,,0.8890450762661151,0.68481,1.0,0.12123915125808847,0.9672,0.1974482275091578,0.68481,valid,,,forward_roic_cap_hit,,False,ok,False,,KLA Corporation,Technology,Semiconductors,general_dcf,311848224400.0,0.9672,0.6965967698764393,1.31460216452782,0.11880581105321462,0.5777909588232246,0.37555765765641247,0.42082497210548553,0.17056544479350988,0.20115479755637194,0.021676482461152884,-0.04560801163090278,,8.0,2025.0,ttm,2026-04-29,2026-06-17,True,,,,0.0,0.060619575629044235,0.0,0.0,0.13521452068054637,,True
4,VICI,27.23,0.2857853741459746,0.33195973492168807,0.1472622918188342,0.33195973492168807,1.0,0.12,0.0,0.0,0.0,0.0,0.0,54.120430004309334,114.15715135935713,114.15715135935713,54.120430004309334,114.15715135935713,False,,3.19233020049053,0.6,0.8,0.11034872155142691,0.4740870752279265,0.21195973492168807,0.48,valid,,,specialist_model_v1,,False,specialist,False,,VICI Properties Inc.,Real Estate,REIT - Specialty,reit,29320724492.000004,,,,,,,,,,,,,,,,,2026-06-17,True,1076780186.9996328,0.676,P/AFFO Gordon proxy; no property-level NOI or maintenance-capex detail,0.0,0.05517436077571346,0.0,0.0,0.10174067276241026,,True
5,TTD,18.16,0.26016349380370235,0.2902887866366656,0.08512620986439288,0.37495019207708535,0.75,0.12,0.0,0.0,0.03487379013560711,0.0,0.03487379013560711,17.890591110070684,37.48328818722693,49.738088113519765,17.890591110070684,49.738088113519765,False,,1.0640577195609544,0.713,1.0,0.15352199110634623,0.9118,0.17028878663666558,0.713,valid,,,intrinsic_2x_price,,False,ok,False,,"The Trade Desk, Inc.",Communication Services,Advertising Agencies,general_dcf,8537167690.0,0.9118,0.3288207697076124,0.48860470771143266,0.09354862063975079,0.23527214906786165,0.1711063344506371,0.20259066659481598,0.29379367691523206,-1.3554265927034115,0.20234486555512426,-0.015605915567558415,heavy_sbc,8.0,2025.0,ttm,2026-05-07,2026-06-17,True,,,,0.0,0.07676099555317312,0.0,0.03487379013560711,0.08654211473633544,,True
6,OMC,76.31,0.2578506282850867,0.264658510684967,0.17316323362756528,0.32892225814284753,1.0,0.12,0.0,0.0,0.0,0.0,0.0,124.50404065150565,184.69882138763305,239.23986405666514,124.50404065150565,239.23986405666514,False,,1.4203750673258164,0.679266,0.85,0.09200153225764113,0.803,0.144658510684967,0.5773761000000001,valid,,,base_growth_cap_hit;reinvestment_cap_hit;intrinsic_2x_price,,False,ok,False,,Omnicom Group Inc.,Communication Services,Advertising Agencies,general_dcf,21748822817.0,0.803,0.10625854426677338,0.02465586598481794,0.06538271288922778,0.04087583137754559,0.14642359336986555,0.14972875016645534,0.017562263432874925,2.06084951795445,0.005825700645671198,-0.0033931429086506704,incremental_roic_below_wacc,8.0,2025.0,annual,2026-02-20,2026-06-17,True,,,,0.0,0.046000766128820564,0.0,0.0,0.08352236673109457,,True
7,ARE,49.21,0.24726137059563125,0.27091254602149606,0.1763078443180368,0.27091254602149606,1.0,0.12,0.0,0.0,0.0,0.0,0.0,110.83025458642908,163.16676369668727,163.16676369668727,110.83025458642908,163.16676369668727,False,,2.3157237085284956,0.6,0.8,0.06530235085172961,0.6792452830188679,0.15091254602149606,0.48,valid,,,specialist_model_v1,,False,specialist,False,,"Alexandria Real Estate Equities, Inc.",Real Estate,REIT - Office,reit,8575777490.0,,,,,,,,,,,,,,,,,2026-06-17,True,174269000.0,1.202,P/AFFO Gordon proxy; no property-level NOI or maintenance-capex detail,0.0,0.032651175425864806,0.0,0.0,0.0724380220903181,,True
8,CTSH,48.82,0.19939783249865292,0.20818617779295898,0.11035975415725266,0.27085922025144105,0.75,0.12,0.0,0.0,0.009640245842747336,0.0,0.009640245842747336,54.32952576391506,77.48135545804563,97.7328052137756,54.32952576391506,97.7328052137756,False,,0.5870822502672188,0.8734,1.0,0.08404773304709419,0.8701,0.08818617779295898,0.8734,valid,,,,,False,ok,False,,Cognizant Technology Solutions Corporation,Technology,Information Technology Services,general_dcf,23134284580.0,0.8701,0.1723955492618894,0.1406886596808351,0.08358334999577456,0.08881219926611485,0.14961661544644123,0.1566383257030739,0.03921825270499446,-0.10875127942681678,0.008867044993919741,-0.02773719033995936,,8.0,2025.0,ttm,2026-04-29,2026-06-17,True,,,,0.0,0.042023866523547095,0.0,0.009640245842747336,0.06738156184162303,,True
9,BXP,63.06,0.20385805074721258,0.22986601824054098,0.12583414826722739,0.22986601824054098,1.0,0.12,0.0,0.0,0.0,0.0,0.0,114.05807908098647,177.43650561485447,177.43650561485447,114.05807908098647,177.43650561485447,False,,1.8137726865660397,0.6,0.8,0.07001593498665679,0.6428106701366297,0.10986601824054099,0.48,valid,,,specialist_model_v1,,False,specialist,False,,"BXP, Inc.",Real Estate,REIT - Office,reit,10056619620.0,,,,,,,,,,,,,,,,,2026-06-17,True,159477000.0,1.062,P/AFFO Gordon proxy; no property-level NOI or maintenance-capex detail,0.0,0.03500796749332839,0.0,0.0,0.05273568875545967,,True
10,CPT,109.35,0.202808447989219,0.23759548803653807,0.09844732784726173,0.23759548803653807,0.75,0.12,0.0,0.0,0.02155267215273826,0.0,0.02155267215273826,174.86986343701994,317.47707779040695,317.47707779040695,174.86986343701994,317.47707779040695,False,,1.9033111823539732,0.6,0.8,0.08757408009463816,0.5508109897384973,0.11759548803653808,0.48,valid,,,specialist_model_v1,,False,specialist,False,,Camden Property Trust,Real Estate,REIT - Residential,reit,10991862000.0,,,,,,,,,,,,,,,,,2026-06-17,True,100520000.0,0.814,P/AFFO Gordon proxy; no property-level NOI or maintenance-capex detail,0.0,0.04378704004731908,0.0,0.02155267215273826,0.034893162104800014,,True
