ticker,name,exchange,security_type,is_adr,listing_date,sector,industry,country,shares_outstanding,beta,market_cap_hint,as_of,source,fetched_at,price,price_as_of,market_cap,avg_dollar_volume,is_price_fresh,years_of_data,latest_fiscal_year,anchor_source,latest_filing_date,cashflow_period_semantics,ttm_cashflow_status,revenue,revenue_cagr,revenue_volatility,gross_margin,current_operating_margin,reported_operating_income,one_off_items_latest,normalized_operating_margin,normalized_operating_income,normalized_nopat,normalized_fcf,normalized_fcf_per_share,margin_volatility,tax_rate,roic,incremental_roic,net_debt,total_debt,interest_expense_known,interest_coverage,net_debt_to_ebitda,sbc_intensity,margin_mad_z,ocf_margin_mad_z,one_off_suspected,dividends_paid,buybacks,net_share_change_cagr,ocf_to_net_income,shares_diluted,sec_status,sec_max_divergence,sec_confidence_penalty,model_family,analyst_growth,analyst_dispersion,has_estimates,risk_free,wacc,cost_of_debt_after_tax,roic_minus_wacc,filing_age_days,data_confidence
LLY,Eli Lilly and Company,NYSE,common_stock,False,1972-06-01,Healthcare,Drug Manufacturers - General,US,941740999.9999999,0.517,1136215225205.0,2026-06-26,fmp:company-screener,2026-06-27T02:28:28.937712+00:00,1208.12,2026-06-26,1137736136919.9998,3410619510.433636,True,8,2025,ttm,2026-04-30,discrete,ok,72249500000.0,0.17173452760489116,0.14539401856922307,0.8350604502453304,0.45865507719776605,33137600000.0,0.0,0.2985125860686211,21567385087.164837,18470271448.310722,9757548251.947643,10.891336367839763,0.06099756072839578,0.14360172206028196,0.4095918883332159,0.46811342852770665,38088000000.0,43370000000.0,True,37.502942507922135,1.0826359832635983,0.014333066179425301,5.913400554468737,2.238477338942517,True,5585700000.0,5264000000.0,-0.01941725719694465,0.8146504314793369,895900000.0,unchecked,,0.0,general_dcf,0.3329090043419425,0.06039719625864231,True,0.0438,0.06894153590268828,0.05035621874285542,0.34065035243052766,57,0.85
JNJ,Johnson & Johnson,NYSE,common_stock,False,1962-01-02,Healthcare,Drug Manufacturers - General,US,2407216971.00055,0.25245008,613021873835.0,2026-06-26,fmp:company-screener,2026-06-27T02:28:28.937712+00:00,254.66,2026-06-26,613021873835.0,1873133831.250606,True,8,2025,ttm,2026-04-22,discrete,ok,96362000000.0,0.020747946632048597,0.035808695075814155,0.6911853220149021,0.2686951287852058,25892000000.0,0.0,0.26112666111616145,25162687318.47555,21670093940.391224,20492024785.462284,8.38051070892454,0.011060098176694946,0.13880049192996613,0.195388949220565,0.12066491948116082,32936000000.0,54987000000.0,True,24.920115495668913,0.979451036369584,0.013645063939219578,0.6305372733181458,-2.3886238644392206,False,12523000000.0,7854000000.0,-0.02815093071096164,0.9151619161319207,2445200000.0,unchecked,,0.0,general_dcf,0.07628133839016127,0.004463842876230384,True,0.0438,0.0673050427757459,0.05063853107451799,0.1280839064448191,65,1.0
XOM,Exxon Mobil Corporation,NYSE,common_stock,False,1978-01-13,Energy,Oil & Gas Integrated,US,4144950000.0000005,0.149,565951473000.0,2026-06-26,fmp:company-screener,2026-06-27T02:28:28.937712+00:00,136.54,2026-06-26,565951473000.0,2739244662.1463637,True,8,2025,ttm,2026-05-04,discrete,ok,326008000000.0,0.02137513326454399,0.29228653601807575,0.2549231920689063,0.09011128561262301,29377000000.0,0.0,0.09579267470512298,31229178295.267735,22523632421.739574,26641311379.15494,6.368948453061186,0.09454531088381184,0.27876320635843754,0.07216371982550887,0.08643896132487533,39226000000.0,47661000000.0,True,42.39105339105339,0.6950158578288064,0.0,-0.131828998326252,-0.4585496721285695,False,17230000000.0,20337000000.0,-0.0017470058605750793,1.6336698337292161,4183000000.0,unchecked,,0.0,general_dcf,0.22279542078808778,0.24205298013292442,True,0.0438,0.0667501156084207,0.04240872346612387,0.005413604217088169,53,1.0
CAT,Caterpillar Inc.,NYSE,common_stock,False,1929-12-02,Industrials,Agricultural - Machinery,US,460637000.0,1.603,459471588390.0,2026-06-26,fmp:company-screener,2026-06-27T02:28:28.937712+00:00,997.47,2026-06-26,459471588390.0,2532834086.1575756,True,8,2025,ttm,2026-05-06,discrete,ok,70755000000.0,0.030628169211895928,0.13874902481947812,0.32520669917320333,0.16558547099144938,11716000000.0,0.0,0.15281852143765806,10812674484.321497,8438643189.110601,6539463486.461416,14.039208858869507,0.029106358546240153,0.21956004489483788,0.1585949719709314,0.35038510576386805,38994000000.0,43066000000.0,True,8.309219858156029,2.778735836955747,0.0034408801246740423,0.4568991324151436,0.8417401362263723,False,2778000000.0,6494000000.0,-0.04236798600512226,1.2467343976777938,465800000.0,unchecked,,0.0,general_dcf,0.15336158315398918,0.02782858636852033,True,0.0438,0.11726047534791484,0.045889869360183536,0.04133449662301655,51,1.0
ABBV,AbbVie Inc.,NYSE,common_stock,False,2013-01-02,Healthcare,Drug Manufacturers - General,US,1766792821.000318,0.309,444383730338.0,2026-06-26,fmp:company-screener,2026-06-27T02:28:28.937712+00:00,251.52,2026-06-26,444383730338.0,1584907501.089091,True,8,2025,ttm,2026-05-08,discrete,ok,62819000000.0,0.09331472871090596,0.1391449717815021,0.7067766121714768,0.2760470558270587,17341000000.0,0.0,0.28007514501636444,17594040534.782997,15834636481.304697,23513896212.228527,13.2547329268481,0.07152304148331765,0.1,0.17156849812017677,,63467000000.0,72858000000.0,True,5.959106529209622,2.5009654411474957,0.015614780902550687,-0.05802798750553761,-2.4054711484179303,False,11818000000.0,1500000000.0,-0.000750469325035974,4.503076194983436,1774000000.0,unchecked,,0.0,general_dcf,0.10426451578944484,0.009209744502189641,True,0.0438,0.06656316377403666,0.05292,0.10500533434614011,49,1.0
UNH,UnitedHealth Group Incorporated,NYSE,common_stock,False,1984-10-17,Healthcare,Medical - Healthcare Plans,US,908144404.0010283,0.65,388585909028.0,2026-06-26,fmp:company-screener,2026-06-27T02:28:28.937712+00:00,427.89,2026-06-26,388585909028.0,2654656047.816364,True,8,2025,ttm,2026-05-05,discrete,ok,449713000000.0,0.10236402697783231,0.03015057603745994,0.1880132440022859,0.041882267134817096,18835000000.0,0.0,0.08231835080659637,37019632496.28687,29159685781.449482,29472401505.688797,32.38725440185582,0.014040979061147749,0.2123183344844322,0.09852363261447654,-0.07804786860320123,46688000000.0,77917000000.0,True,4.757514523869664,2.0155413572785355,0.0025432324534448558,-4.043608367177927,-2.5482616206067292,False,8009000000.0,2545000000.0,-0.014236812683171118,1.633792302587923,910000000.0,unchecked,,0.0,general_dcf,-0.008770983265835253,0.026256479602433425,True,0.0438,0.0712919109491779,0.04631568193231539,0.027231721665298636,52,1.0
KO,The Coca-Cola Company,NYSE,common_stock,False,1962-01-02,Consumer Defensive,Beverages - Non-Alcoholic,US,4302482417.995886,0.35111874,355514122199.0,2026-06-26,fmp:company-screener,2026-06-27T02:28:28.937712+00:00,82.63,2026-06-26,355514122199.0,1298257825.5393941,True,8,2025,ttm,2026-04-30,discrete,ok,49284000000.0,0.04899466931403018,0.08312406219604142,0.6174417660904148,0.29344209073938804,14462000000.0,0.0,0.2667444120505345,13146231603.498543,10732482562.24219,10371845762.832718,2.404229430420194,0.021122148656035154,0.1836076766374627,0.1777041809221706,0.3070694854507463,32807000000.0,43890000000.0,True,8.807551766138856,2.115352376039719,0.0058196533238772654,1.9109302299516113,0.7475380640386262,False,10971000000.0,853000000.0,-0.0027662658604344914,0.640109114852789,4314000000.0,unchecked,,0.0,general_dcf,0.017400585822281434,0.04175957836481429,True,0.0438,0.06651474014459674,0.04800386861371719,0.11118944077757387,57,1.0
HD,"The Home Depot, Inc.",NYSE,common_stock,False,1981-09-22,Consumer Cyclical,Home Improvement,US,997116682.0013759,0.974,347854125683.0,2026-06-26,fmp:company-screener,2026-06-27T02:28:28.937712+00:00,348.86,2026-06-26,347854125683.0,1539173724.3821213,True,8,2025,ttm,2026-05-27,discrete,ok,166592000000.0,0.06183856728649273,0.07301095723835462,0.3312704091432962,0.12448376872839031,20738000000.0,0.0,0.14279601693997807,23788674054.064827,18103104534.44652,16194534886.056755,16.25957317877184,0.008072344591178457,0.23900321248240392,0.22465481408068422,-0.04736403118234224,56374000000.0,57975000000.0,True,8.612126245847175,2.259841257115369,0.002770916659352784,-1.831224821158775,-0.6820788845592142,False,9186000000.0,0.0,-0.009521261005304371,1.3379710928002162,996000000.0,unchecked,,0.0,general_dcf,0.03612592257486469,0.006924618842385543,True,0.0438,0.08567815665283185,0.044746611106034645,0.13897665742785237,30,1.0
PG,The Procter & Gamble Company,NYSE,common_stock,False,1978-01-13,Consumer Defensive,Household & Personal Products,US,2328598977.9993286,0.385,346844817773.0,2026-06-26,fmp:company-screener,2026-06-27T02:28:28.937712+00:00,149.02,2026-06-26,347007819701.45996,1266996191.200303,True,8,2025,ttm,2026-04-24,discrete,ok,86718000000.0,0.03369968261776646,0.02305581143345163,0.5032865149103992,0.23239696487465117,20153000000.0,0.0,0.22124866058976383,19186241349.02314,15360260829.57042,14340628338.986181,5.9344623790549065,0.048534720736036735,0.1994127171577313,0.2036508111217449,0.2194914528090526,24720000000.0,37026000000.0,True,48.91504854368932,1.0644161212538752,0.0066458551813281955,0.9436476302058143,0.00026934998045046485,False,10176000000.0,4853000000.0,-0.01636116975751145,1.1497986760390364,2416500000.0,unchecked,,0.0,general_dcf,0.035186050466831986,0.017211703961140083,True,0.0438,0.06670537414065335,0.04707453223112539,0.13694543698109157,63,1.0
CVX,Chevron Corporation,NYSE,common_stock,False,1921-06-24,Energy,Oil & Gas Integrated,US,1991600000.0,0.472,340683096000.0,2026-06-26,fmp:company-screener,2026-06-27T02:28:28.937712+00:00,171.06,2026-06-26,340683096000.0,1907146792.940606,True,8,2025,ttm,2026-05-07,discrete,ok,185887000000.0,0.02151287461971707,0.3378424505974167,0.2543050347791938,0.08401340599396408,15617000000.0,0.0,0.09720176629979874,18068544732.17069,12952142787.436766,17846097331.851788,8.986402805706122,0.08021670221770562,0.2831662439102951,0.05001694562082441,0.006594393908605934,40105000000.0,45428000000.0,True,11.568148148148149,1.071352246620719,0.0,-0.14172743005863106,-1.5535461710219343,False,13293000000.0,10510000000.0,0.0077772420189685665,1.7831379876564182,1985900000.0,unchecked,,0.0,general_dcf,0.24520877587938772,0.2877886002883876,True,0.0438,0.06566446681048663,0.04214982485807465,-0.015647521189662214,50,1.0
